kind,duty_deg_per_s,J,label,params
search,2.0214,-26.445,random r=0.144 qt=0.129,"{""horizon"": 15, ""r"": 0.144, ""qt"": 0.129, ""wc_v"": 0.546, ""tau_adapt"": 3.03, ""adapt"": ""offset""}"
search,1.6175,-60.118,random r=0.342 qt=16.9,"{""horizon"": 20, ""r"": 0.342, ""qt"": 16.9, ""wc_v"": 0.255, ""tau_adapt"": 22.2, ""adapt"": ""offset""}"
search,0.3127,11.383,random r=0.464 qt=2.31,"{""horizon"": 10, ""r"": 0.464, ""qt"": 2.31, ""wc_v"": 0.595, ""tau_adapt"": 24.6, ""adapt"": ""rls""}"
search,4.3418,-50.027,random r=0.102 qt=26.7,"{""horizon"": 20, ""r"": 0.102, ""qt"": 26.7, ""wc_v"": 1.33, ""tau_adapt"": 1.9, ""adapt"": ""rls""}"
search,2.0025,-77.516,random r=0.131 qt=8.79,"{""horizon"": 10, ""r"": 0.131, ""qt"": 8.79, ""wc_v"": 0.22, ""tau_adapt"": 1.06, ""adapt"": ""offset""}"
search,1.47,-36.285,random r=0.451 qt=3.13,"{""horizon"": 30, ""r"": 0.451, ""qt"": 3.13, ""wc_v"": 0.427, ""tau_adapt"": 1.05, ""adapt"": ""rls""}"
search,0.4195,-42.193,random r=1.93 qt=0.132,"{""horizon"": 10, ""r"": 1.93, ""qt"": 0.132, ""wc_v"": 0.892, ""tau_adapt"": 12.2, ""adapt"": ""offset""}"
search,1.9394,15.27,random r=0.19 qt=2.1,"{""horizon"": 20, ""r"": 0.19, ""qt"": 2.1, ""wc_v"": 0.126, ""tau_adapt"": 7.79, ""adapt"": ""offset""}"
search,0.2545,-7.071,random r=1.87 qt=3.1,"{""horizon"": 20, ""r"": 1.87, ""qt"": 3.1, ""wc_v"": 0.132, ""tau_adapt"": 10.3, ""adapt"": ""rls""}"
search,1.0099,-59.02,random r=0.92 qt=4.58,"{""horizon"": 15, ""r"": 0.92, ""qt"": 4.58, ""wc_v"": 0.913, ""tau_adapt"": 1.02, ""adapt"": ""offset""}"
search,3.7023,-18.959,random r=0.119 qt=8.37,"{""horizon"": 30, ""r"": 0.119, ""qt"": 8.37, ""wc_v"": 0.599, ""tau_adapt"": 8.73, ""adapt"": ""rls""}"
reference,1.6364,18.014,nominal MPC,
reference,1.6337,22.531,offset-free MPC,
reference,1.574,22.84,adaptive MPC,
reference,1.6097,20.436,offset-free + 3P notch Q5,
reference,0.2158,-0.109,ROSCO + tower damper,
residual_arm,0.4798,4.858,"GSPI + fixed-reward residual (n=5, held-out 150 s)",
residual_arm,0.3153,5.295,"GSPI + agent-reward residual (n=5, held-out 150 s)",
residual_arm,1.169,16.599,"MPC + fixed-reward residual (n=3, held-out 150 s)",
residual_arm,1.6583,17.234,"MPC + agent-reward residual (n=3, held-out 150 s)",
